timestamp,user_id,service_type,prediction,confidence,processing_time
2025-10-11T18:46:22.538391,1,test,test_prediction,0.85,0.1
2025-10-11T18:47:29.556712,1,test,test_prediction,0.85,0.1
2025-10-11T18:48:15.493503,1,test,test_prediction,0.85,0.1
2025-10-11T18:49:02.187699,1,test,test_prediction,0.85,0.1
2025-10-11T18:49:51.042345,1,test,test_prediction,0.85,0.1
2025-10-11T18:52:18.739163,1,test,test_prediction,0.85,0.1
2025-10-11T18:53:10.272915,1,test,test_prediction,0.85,0.1
2025-10-11T18:54:16.292920,1,test,test_prediction,0.85,0.1
2025-10-11T18:55:10.273055,1,test,test_prediction,0.85,0.1
2025-10-11T18:57:22.390559,1,test,test_prediction,0.85,0.1
2025-10-11T18:58:08.644595,1,test,test_prediction,0.85,0.1
2025-10-11T18:58:51.131222,1,test,test_prediction,0.85,0.1
2025-10-11T18:59:33.125015,1,test,test_prediction,0.85,0.1
2025-10-11T19:00:07.857504,1,test,test_prediction,0.85,0.1
2025-10-11T19:00:39.158298,1,test,test_prediction,0.85,0.1
2025-10-11T19:01:48.123084,1,test,test_prediction,0.85,0.1
2025-10-11T19:02:16.058134,1,test,test_prediction,0.85,0.1
2025-10-11T19:03:00.534578,1,test,test_prediction,0.85,0.1
2025-10-11T19:03:27.795795,1,test,test_prediction,0.85,0.1
2025-10-11T19:05:37.168059,1,test,test_prediction,0.85,0.1
2025-10-11T19:06:20.614293,1,test,test_prediction,0.85,0.1
2025-10-11T19:07:33.544875,1,test,test_prediction,0.85,0.1
2025-10-11T19:08:13.546063,1,test_service,test_prediction,0.9,0.1
2025-10-11T19:09:03.555161,1,test,test_prediction,0.85,0.1
2025-10-11T19:09:37.526988,1,test_service,test_prediction,0.9,0.1
2025-10-11T19:10:24.180490,1,test,test_prediction,0.85,0.1
2025-10-11T19:11:04.149912,1,test_service,test_prediction,0.9,0.1
2025-10-11T19:12:10.334027,1,test,test_prediction,0.85,0.1
2025-10-11T19:12:17.601916,1,test_service,test_prediction,0.9,0.1
2025-10-11T19:13:18.027643,1,test,test_prediction,0.85,0.1
2025-10-11T19:13:53.149710,1,test_service,test_prediction,0.9,0.1
2025-10-11T19:14:32.376299,1,test,test_prediction,0.85,0.1
2025-10-11T19:15:11.593921,1,test_service,test_prediction,0.9,0.1
2025-10-11T19:15:51.244880,1,test,test_prediction,0.85,0.1
2025-10-11T19:16:30.545611,1,test_service,test_prediction,0.9,0.1
